wl,n,k
1.08E+01,1.137372,8.65E-02
1.09E+01,1.134419,8.97E-02
1.09E+01,1.131445,9.33E-02
1.10E+01,1.12864,9.68E-02
1.10E+01,1.125466,1.00E-01
1.11E+01,1.12201,1.04E-01
1.11E+01,1.118841,1.08E-01
1.12E+01,1.116059,1.13E-01
1.12E+01,1.113289,1.17E-01
1.13E+01,1.110334,1.22E-01
1.14E+01,1.107674,1.27E-01
1.14E+01,1.105361,1.32E-01
1.15E+01,1.103057,1.37E-01
1.15E+01,1.100705,1.42E-01
1.16E+01,1.097503,1.47E-01
1.16E+01,1.096584,1.52E-01
1.16E+01,1.096068,1.57E-01
1.17E+01,1.094339,1.62E-01
1.17E+01,1.092339,1.68E-01
1.18E+01,1.090622,1.74E-01
1.19E+01,1.089062,1.80E-01
1.19E+01,1.086474,1.87E-01
1.19E+01,1.086163,1.93E-01
1.20E+01,1.08748,1.99E-01
1.21E+01,1.087926,2.05E-01
1.21E+01,1.087993,2.11E-01
1.22E+01,1.086723,2.18E-01
1.22E+01,1.087212,2.24E-01
1.22E+01,1.089721,2.30E-01
1.23E+01,1.090913,2.36E-01
1.24E+01,1.09127,2.42E-01
1.24E+01,1.092375,2.48E-01
1.24E+01,1.095643,2.53E-01
1.25E+01,1.098011,2.59E-01
1.26E+01,1.099603,2.64E-01
1.26E+01,1.100816,2.69E-01
1.26E+01,1.104624,2.74E-01
1.27E+01,1.107403,2.79E-01
1.28E+01,1.108999,2.84E-01
1.28E+01,1.110319,2.88E-01
1.29E+01,1.114243,2.93E-01
1.29E+01,1.116753,2.98E-01
1.29E+01,1.118262,3.01E-01
1.30E+01,1.122067,3.06E-01
1.31E+01,1.124841,3.10E-01
1.31E+01,1.126485,3.14E-01
1.32E+01,1.130583,3.18E-01
1.32E+01,1.133825,3.23E-01
1.32E+01,1.135773,3.26E-01
1.33E+01,1.139515,3.29E-01
1.33E+01,1.141428,3.32E-01
1.34E+01,1.14585,3.36E-01
1.35E+01,1.149628,3.40E-01
1.35E+01,1.151643,3.43E-01
1.36E+01,1.156338,3.47E-01
1.36E+01,1.16015,3.49E-01
1.36E+01,1.161869,3.51E-01
1.37E+01,1.165763,3.55E-01
1.37E+01,1.167947,3.57E-01
1.38E+01,1.172049,3.60E-01
1.38E+01,1.174089,3.62E-01
1.39E+01,1.178513,3.65E-01
1.40E+01,1.182458,3.68E-01
